CATEGORY,LANGUAGE
Apperetiv,GER
Vorspeise,GER
Suppe, GER
Zwischengang,GER
Hauptgang,GER
Digestive, GER
Käse,GER
Dessert,GER
Frühstück,GER
Lunch,GER
Abendessen,GER
Nudeln,GER
Brot,GER
Gebäck,GER
Backen,GER
Kochen,GER
Dünsten,GER
Dämpfen,GER
Braten,GER
Fleischgericht,GER
Gemüsegericht,GER
Kartoffelgericht,GER
Vegetarisch,GER
Vegan,INT
Glutenhaltig,GER
Glutenfrei,GER
Low Carb,GER
Laktosehaltig,GER
Laktosefrei,GER
Frühling,GER
Sommer,GER
Herbst,GER
Winter,GER
Wein,GER
Coctail,GER
Sekt,GER
Rind,GER
Kalb,GER
Schwein,GER
Lamm,GER
Huhn,GER
Ente,GER
Snacks,GER
Grillen,GER
Gullasch,GER
Pastete,GER
Terrine,GER
Salat,GER
Rohkost,GER
Nüsse,GER
Nusshaltig,GER
Fettig,GET
Wenig Fett,GER
Eis,GER
Parfait,GER
Kuchen,GER
Mousse,INT
